State,State FIPS Code,District ID,Year,District Name,District Population,Student Population,Student Poverty Population
AL,1,190,2016,Alabaster City School District,33517,6678,953
AL,1,5,2016,Albertville City School District,21613,4063,1556
AL,1,30,2016,Alexander City City School District,17092,2662,853
AL,1,60,2016,Andalusia City School District,8942,1491,441
AL,1,90,2016,Anniston City School District,22345,3213,1187
AL,1,100,2016,Arab City School District,8277,1511,341
AL,1,120,2016,Athens City School District,24538,3943,683
AL,1,180,2016,Attalla City School District,5940,942,253
AL,1,210,2016,Auburn City School District,60508,7273,1019
AL,1,240,2016,Autauga County School District,55416,10335,1887
AL,1,270,2016,Baldwin County School District,208563,33670,5512
AL,1,300,2016,Barbour County School District,13545,1768,650
AL,1,330,2016,Bessemer City School District,27516,4744,1569
AL,1,360,2016,Bibb County School District,22643,3425,892
AL,1,390,2016,Birmingham City School District,212712,30585,11226
AL,1,420,2016,Blount County School District,51097,9009,1554
AL,1,12,2016,Boaz City School District,9640,1756,466
AL,1,450,2016,Brewton City School District,5326,888,337
AL,1,480,2016,Bullock County School District,10362,1605,689
AL,1,510,2016,Butler County School District,19998,3519,1187
AL,1,540,2016,Calhoun County School District,54887,9573,1858
AL,1,600,2016,Chambers County School District,27437,4183,1197
AL,1,630,2016,Cherokee County School District,25725,3915,982
AL,1,188,2016,Chickasaw City School District,6126,1012,480
AL,1,660,2016,Chilton County School District,43941,7778,1902
AL,1,690,2016,Choctaw County School District,12993,1972,595
AL,1,720,2016,Clarke County School District,18829,3043,1096
AL,1,750,2016,Clay County School District,13492,2077,537
AL,1,780,2016,Cleburne County School District,14563,2499,572
AL,1,810,2016,Coffee County School District,19107,3370,543
AL,1,840,2016,Colbert County School District,23564,3616,825
AL,1,870,2016,Conecuh County School District,12395,1944,809
AL,1,900,2016,Coosa County School District,10581,1367,381
AL,1,930,2016,Covington County School District,21912,3455,825
AL,1,960,2016,Crenshaw County School District,13913,2411,633
AL,1,990,2016,Cullman City School District,15041,2336,489
AL,1,1020,2016,Cullman County School District,67402,11219,1999
AL,1,1050,2016,Dale County School District,14935,2392,564
AL,1,1080,2016,Daleville City School District,11272,1775,520
AL,1,1110,2016,Dallas County School District,21058,3842,2012
AL,1,1140,2016,DeKalb County School District,56842,10547,2976
AL,1,1170,2016,Decatur City School District,55500,9344,2492
AL,1,1200,2016,Demopolis City School District,6998,1217,434
AL,1,1230,2016,Dothan City School District,67338,11475,3149
AL,1,1260,2016,Elba City School District,5312,847,232
AL,1,1290,2016,Elmore County School District,74428,12364,2365
AL,1,1320,2016,Enterprise City School District,27270,4902,946
AL,1,1350,2016,Escambia County School District,32402,5260,1475
AL,1,1380,2016,Etowah County School District,59298,9957,1966
AL,1,1410,2016,Eufaula City School District,12420,2368,852
AL,1,1440,2016,Fairfield City School District,11133,1884,560
AL,1,1470,2016,Fayette County School District,15295,2377,650
AL,1,1530,2016,Florence City School District,39173,5222,1257
AL,1,1560,2016,Fort Payne City School District,14058,2553,745
AL,1,1,2016,Fort Rucker School District,4553,882,129
AL,1,1590,2016,Franklin County School District,21818,3868,928
AL,1,1620,2016,Gadsden City School District,36237,5507,1915
AL,1,1640,2016,Geneva City School District,6248,1001,299
AL,1,1660,2016,Geneva County School District,20366,3398,963
AL,1,1680,2016,Greene County School District,8422,1411,665
AL,1,1690,2016,Guntersville City School District,8385,1322,346
AL,1,1710,2016,Hale County School District,14952,2514,810
AL,1,1720,2016,Haleyville City School District,8410,1343,336
AL,1,1730,2016,Hartselle City School District,13797,2538,329
AL,1,1740,2016,Henry County School District,17157,2703,694
AL,1,1760,2016,Homewood City School District,25208,3819,362
AL,1,7,2016,Hoover City School District,82841,14748,1205
AL,1,1770,2016,Houston County School District,37919,6819,1589
AL,1,1800,2016,Huntsville City School District,192378,27258,6152
AL,1,1830,2016,Jackson County School District,37671,6131,1310
AL,1,1860,2016,Jacksonville City School District,12721,1619,371
AL,1,1890,2016,Jasper City School District,13948,2115,614
AL,1,1920,2016,Jefferson County School District,230618,38876,6553
AL,1,1950,2016,Lamar County School District,13918,2274,551
AL,1,1980,2016,Lanett City School District,6406,942,426
AL,1,2010,2016,Lauderdale County School District,53145,8598,1433
AL,1,2040,2016,Lawrence County School District,33244,5354,1223
AL,1,2070,2016,Lee County School District,63828,11615,2004
AL,1,11,2016,Leeds City School District,11895,1742,347
AL,1,2100,2016,Limestone County School District,62513,10840,1744
AL,1,2130,2016,Linden City School District,4416,641,231
AL,1,2160,2016,Lowndes County School District,10358,1722,1040
AL,1,2190,2016,Macon County School District,18963,2416,1018
AL,1,8,2016,Madison City School District,45992,9568,705
AL,1,2220,2016,Madison County School District,124205,22510,2627
AL,1,2250,2016,Marengo County School District,8259,1459,447
AL,1,2310,2016,Marion County School District,24247,3811,1043
AL,1,6,2016,Marshall County School District,48359,8718,2381
AL,1,3,2016,Maxwell AFB School District,2481,241,28
AL,1,2350,2016,Midfield City School District,5373,1111,329
AL,1,2370,2016,Mobile County School District,388829,66870,19514
AL,1,2400,2016,Monroe County School District,21530,3730,1185
AL,1,2430,2016,Montgomery County School District,218554,36007,9595
AL,1,2480,2016,Morgan County School District,49809,8541,1527
AL,1,2490,2016,Mountain Brook City School District,20521,4712,288
AL,1,2520,2016,Muscle Shoals City School District,13105,2236,352
AL,1,2550,2016,Oneonta City School District,6607,1020,190
AL,1,2580,2016,Opelika City School District,29946,5078,1262
AL,1,2610,2016,Opp City School District,6604,1107,393
AL,1,2635,2016,Oxford City School District,22572,4041,791
AL,1,2640,2016,Ozark City School District,16809,2759,884
AL,1,194,2016,Pelham City School District,23145,4112,368
AL,1,2650,2016,Pell City City School District,29179,4929,803
AL,1,2670,2016,Perry County School District,9574,1556,752
AL,1,2700,2016,Phenix City City School District,36260,6593,1812
AL,1,2730,2016,Pickens County School District,20324,2987,985
AL,1,2760,2016,Piedmont City School District,6464,1079,301
AL,1,2790,2016,Pike County School District,14892,2301,708
AL,1,195,2016,Pike Road City School District,5314,1008,64
AL,1,2820,2016,Randolph County School District,16647,2560,812
AL,1,2850,2016,Roanoke City School District,6005,1056,304
AL,1,2880,2016,Russell County School District,26621,4501,1066
AL,1,2910,2016,Russellville City School District,9810,1795,666
AL,1,185,2016,Saraland City School District,13684,2230,381
AL,1,189,2016,Satsuma City School District,6197,1047,219
AL,1,2940,2016,Scottsboro City School District,14467,2203,462
AL,1,2970,2016,Selma City School District,18950,3561,2052
